🌳 エルデの樹海,,,,,,,,
,,,,,,,,
樹海の小径,,(AP:17),,,,,,
採　取,古木,コケ,樹海キノコ,枝,蔓鉄木,精霊花,南蛮樹脂,ダンジョンマップの欠片
マッシュマン,樹海キノコ,コケ,毒液,テングダケ,スライムゼリー,,,
エルデ・トレント,南蛮樹脂,蔓鉄木,トレントの樹液,トレントの樹皮,,,,
エルデ・フェアリー,精霊花,花の蜜,霊草,風の結晶,魔力の欠片,,,
樹海のドリアード,精霊の雫,,,,,,,
樹海の蔓蛇,つる,蛇皮,毒液,蔓鉄木,,,,
エルデ・ウルフ,小さなお肉,とがった牙,毛皮,狼の爪,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
アテケロ沼,,(AP:18),,,,,,
採　取,沼の粘液,腐食土,瘴気の根,毒蛙の皮,猛毒草,,,
腐敗ゴーレム,腐食土,沼の粘液,瘴気の根,,,,,
猛毒ガエル,猛毒草,沼の粘液,ガエルの油,毒蛙の皮,,,,
コブラ,瘴気の根,蛇皮,,,,,,
血吸いビル,腐食土,沼の粘液,毒液,スライムコア,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
精霊の泉,,(AP:19),,,,,,
採　取,清水苔,,,,,,,
水晶蝶,月光花,虹色貝,,,,,,
泉の精霊,魔力の欠片,精霊の雫,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
タタン地下迷宮,,(AP:-),,,,,,
採　取,,,,,,,,
