🔨 ガルド坑都,,,,,,,,
,,,,,,,,
枯れ木帯,,(AP:9),,,,,,
採　取,枯れ葉,枝,柄材,薪,,,,
バット,コウモリの翼膜,リン,褐炭,コウモリの牙,リン鉱石,,,
ブラックバット,闇コウモリの膜,褐炭,コウモリの翼膜,,,,,
ゴブリン,ゴブリンの耳,ゴブリンのナイフ,矢じり,小さなお肉,石,,,
ゾンビ,リン,腐肉,朽ちた布切れ,朽ちた骨,,,,
オーガ,鉄鉱石,オーガの角,オーガの血,小さなお肉,アックス,褐炭,,
岩蟲,岩蟲の体節,岩蟲の歯,褐炭,石,鉄鉱石,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
赤錆坑道,,(AP:10),,,,,,
採　取,石,褐炭,銅鉱石,鉄鉱石,錫石,リン鉱石,方鉛鉱,亜鉛鉱
バット,リン,コウモリの牙,褐炭,コウモリの翼膜,リン鉱石,,,
ブラックバット,闇コウモリの膜,コウモリの翼膜,褐炭,リン,コウモリの牙,,,
ゴブリン,ゴブリンの耳,ゴブリンのナイフ,矢じり,褐炭,石,小さなお肉,,
岩蟲,岩蟲の歯,岩蟲の体節,鉄鉱石,褐炭,石,,,
毒ムカデ,ムカデの殻,ムカデの脚,リン,毒嚢,毒液,,,
スライム,雑草,スライムコア,スライムゼリー,コケ,毒液,,,
ノーム,ノームの粉,ノームの宝石,金塊,,,,,
ゴーレム,銅鉱石,褐炭,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
クリスタルケイヴ,,(AP:11),,,,,,
採　取,銅鉱石,鉄鉱石,水晶,石,錫石,蒼銀の粉,,
バット,褐炭,コウモリの翼膜,コウモリの牙,リン,リン鉱石,,,
ノーム,ノームの粉,リン鉱石,銅鉱石,ノームの宝石,金塊,水晶,鉄鉱石,
ブラックバット,リン,褐炭,コウモリの牙,コウモリの翼膜,闇コウモリの膜,,,
岩蟲,鉄鉱石,岩蟲の歯,石,褐炭,,,,
ゴブリン,ゴブリンの耳,ゴブリンのナイフ,,,,,,
ゴーレム,ゴーレムの破片,ゴーレムの核,石,鉄鉱石,銅鉱石,水晶,,
アイアンゴーレム,鉄鉱石,鉄ゴーレムの装甲,ゴーレムの核,ゴーレムの破片,水晶,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
魔鉱の洞窟,,(AP:12 ／ ダンジョンマップのかけら:4個で解放),,,,,,
採　取,なし,,,,,,,
魔岩這い,火の結晶,ルーン鉱石,,,,,,
炎の精霊,火の結晶,ルーン鉱石,,,,,,
ルーンバット,魔力の欠片,ルーン鉱石,,,,,,
アースファントム,ルーン鉱石,魔力の欠片,土の結晶,,,,,
ルーンスピリット,ルーン鉱石,,,,,,,
ルーンスペクター,ルーン鉱石,光の結晶,火の結晶,,,,,
水晶の幽霊,ルーン鉱石,魔力の欠片,,,,,,
マグマゴーレム,ルーン鉱石,火の結晶,土の結晶,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
灼熱鉱山,,(AP:20 ／ 深淵の塔クリアで解放),,,,,,
採　取,なし,,,,,,,
ファイアドレイク,溶岩の核,黒曜石,火の結晶,,,,,
フレイムリザード,石,蛇皮,火山岩,リン,火の結晶,褐炭,,
火山王,溶岩の核,火の結晶,黒曜石,ゴーレムの核,金塊,炎のエッセンス,,
炎の小鬼,リン,矢じり,ゴブリンの耳,黒曜石,,,,
灰の亡霊a,腐肉,瘴気の粉,リン,朽ちた布切れ,,,,
黒曜ゴーレム,ゴーレムの核,ゴーレムの破片,黒曜石,火山岩,石,,,
溶岩蟲a,溶岩の核,石,火山岩,,,,,
溶岩ナメクジ,火山岩,スライムゼリー,リン,褐炭,溶岩の核,石,,
ボルケナバット,火の結晶,火山岩,リン,コウモリの牙,コウモリの翼膜,,,
火蜘蛛,蜘蛛の牙,蜘蛛の目,毒嚢,,,,,
,,,,,,,,
,,,,,,,,
星光の晶洞,,(AP100／魔鉱探索時低確率で出現？),,,,,,
採取,なし,,,,,,,
ルーニクス,光の結晶,魔力の欠片,リン鉱石,アステル晶片,ルーン鉱石,,,
ルーンヴァルト,アステル晶片,魔法のインク,古代のルーン,ルーン鉱石,光の結晶,オルビス星核,,
ガルノス,銅鉱石,土の結晶,鉄ゴーレムの装甲,蒼銀の粉,アステル晶片,,,
フランメル ,火の結晶,アステル晶片,火打石,土の結晶,溶岩の核,,,
マグナリオス,鉄ゴーレムの装甲,溶岩の核,火打石,土の結晶,アステル晶片,オルビス星核,,
ドルメクス,ノームの宝石,アステル晶片,アダマンタイト鉱,蒼銀の粉,ノームの粉,,,
ステラリム,光の結晶,星光石,魔法のインク,アステル晶片,月光石,,,
プリズマルク,水晶,光の結晶,ノームの宝石,アステル晶片,星光石,オルビス星核,,
ザルドニクス ,竜骨石,星光石,アステル晶片,金塊,ルーン鉱石,アステル晶片,,
オルビタリス ,オルビス星核,アステル晶片,巨神合金,星光石,月光石,金塊,,
クォルツァ,水晶,亜鉛鉱,方鉛鉱,アステル晶片,錫石,,,
