🏚️ 灰の宿場,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
マグニス街道,
採取,灰草,崩壊した石材,朽ちた木片,錆びた金属片,ダンジョンマップのかけら,灰の土,,,,,,,,,
古代骸骨兵,矢じり,崩壊した石材,骸骨の骨,リン,,,,,,,,,,,
アッシュラット,灰草,朽ちた木片,錆びた金属片,小さなお肉,,,,,,,,,,,
ミアズ・ハウンド,毛皮,,,,,,,,,,,,,,
ルイズ・オーガ,オーガの血,崩壊した石材,,,,,,,,,,,,,
黄昏蝙蝠,灰草,灰の土,蝙蝠の牙,蝙蝠の翼膜,リン,,,,,,,,,,
グレイウルフ,灰草,毛皮,とがった牙,小さなお肉,狼の爪,,,,,,,,,,
アシュリースパイダー,灰草,クモの糸,毒液,,,,,,,,,,,,
遺跡の番人,錆びた金属片,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
霧深い森,
採取,枝,霧苔,霧木,霊草,月光花,,,,,,,,,,
フォグ・ウルフ,とがった牙,,,,,,,,,,,,,,
霧蛇,毒嚢,毒液,,,,,,,,,,,,,
シャドウ・モスビム,リン,クモの糸,,,,,,,,,,,,,
モスゴレン,霧苔,崩壊した石材,,,,,,,,,,,,,
靄の亡霊,瘴気の粉,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
黒石帯,
採取,石,黒曜石片,黒鉄鉱,硫黄,,,,,,,,,,,
溶岩蟲,火山灰,岩蟲の歯,硫黄,,,,,,,,,,,,
ハゲワシ,とがった牙,海鳥の羽,火山灰,小さなお肉,,,,,,,,,,,
黒サソリ,毒液,,,,,,,,,,,,,,
溶岩トカゲ,,,,,,,,,,,,,,,
黒曜石の哨兵,,,,,,,,,,,,,,,
