🏚️ 灰の宿場,,,,,,
,,,,,,
マグニス街道,,(AP:15),,,,
採　取,灰草,崩壊した石材,朽ちた木片,錆びた金属片,灰の土,ダンジョンマップの欠片
古代骸骨兵,矢じり,崩壊した石材,骸骨の骨,リン,,
アッシュラット,灰草,朽ちた木片,錆びた金属片,小さなお肉,,
ミアズ・ハウンド,毛皮,小さなお肉,瘴気の粉,,,
ルイズ・オーガ,オーガの血,崩壊した石材,小さなお肉,錆びた金属片,オーガの角,
黄昏蝙蝠,灰草,灰の土,蝙蝠の牙,蝙蝠の翼膜,リン,
グレイウルフ,灰草,毛皮,とがった牙,小さなお肉,狼の爪,
アシュリースパイダー,灰草,クモの糸,毒液,蜘蛛の牙,蜘蛛の目,
遺跡の番人,錆びた金属片,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
霧深い森,,(AP:16),,,,
採　取,枝,霧苔,霧木,霊草,月光花,湿った樹皮
フォグ・ウルフ,とがった牙,毛皮,狼の爪,,,
霧蛇,毒嚢,毒液,蛇皮,,,
シャドウ・モスビム,リン,クモの糸,鉱蛾の鱗粉,霧苔,,
モスゴレン,霧苔,崩壊した石材,ゴーレムの破片,ゴーレムの核,,
靄の亡霊,瘴気の粉,魔力の欠片,亡霊の布,霧苔,リン,
朝霧のトレント,樹脂,霧木,湿った樹皮,霧苔,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
黒石帯,,(AP:16),,,,
採　取,石,黒曜石片,黒鉄鉱,硫黄,溶岩石,火山灰
溶岩蟲,火山灰,岩蟲の歯,硫黄,溶岩石,,
ハゲワシ,とがった牙,海鳥の羽,火山灰,小さなお肉,,
黒サソリ,毒液,とがった牙,黒曜石片,,,
溶岩トカゲ,情報なし,,,,,
黒曜石の哨兵,ゴーレムの核,黒曜石片,黒鉄鉱,ゴーレムの破片,溶岩石,
鉄甲虫,鉄鉱石,銅鉱石,黒曜石片,,,
火砕竜,黒曜石片,,,,,
